Diameter,Distance,Movement Time
20.0,160.0,9193.0
10.0,160.0,2098.0
10.0,40.0,1808.0
80.0,160.0,1616.0
20.0,40.0,6003.0
20.0,320.0,1671.0
10.0,320.0,21337.0
40.0,80.0,4572.0
10.0,80.0,3504.0
