Diameter,Distance,Movement Time
20.0,320.0,3971.0
80.0,640.0,1045.0
40.0,1280.0,777.0
80.0,160.0,935.0
40.0,160.0,1109.0
80.0,1280.0,868.0
80.0,320.0,747.0
40.0,640.0,736.0
20.0,160.0,936.0
20.0,1280.0,903.0
160.0,320.0,2268.0
40.0,320.0,726.0
160.0,640.0,1183.0
20.0,640.0,960.0
160.0,160.0,1036.0
