Diameter,Distance,Movement Time
40.0,1280.0,4528.0
40.0,320.0,937.0
80.0,640.0,1086.0
80.0,320.0,1097.0
20.0,320.0,1542.0
20.0,640.0,1241.0
80.0,160.0,1439.0
20.0,160.0,1136.0
160.0,160.0,1895.0
20.0,1280.0,954.0
