Trial Nr,Diameter,Distance,ID,Movement Time
0,50.0,0.0,0.0,0.0
1,20.0,300.0,4.0,5476.0
2,20.0,500.0,4.70044,1526.0
3,80.0,200.0,1.8073549,1452.0
4,20.0,200.0,3.4594316,950.0
5,80.0,300.0,2.2479274,1201.0
6,160.0,300.0,1.523562,931.0
7,160.0,500.0,2.044394,867.0
8,40.0,300.0,3.087463,917.0
9,160.0,400.0,1.8073549,1199.0
10,40.0,200.0,2.5849626,950.0
11,40.0,500.0,3.7548876,1034.0
12,20.0,400.0,4.3923173,1217.0
13,80.0,400.0,2.5849626,1333.0
14,80.0,500.0,2.857981,1236.0
