Diameter,Distance,Movement Time
40.0,640.0,3088.0
80.0,1280.0,1178.0
40.0,320.0,999.0
40.0,1280.0,760.0
20.0,1280.0,732.0
160.0,160.0,1018.0
20.0,320.0,787.0
160.0,640.0,1063.0
160.0,1280.0,820.0
20.0,640.0,1018.0
20.0,160.0,1386.0
80.0,160.0,1084.0
80.0,640.0,968.0
40.0,160.0,2293.0
80.0,320.0,788.0
